Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
No traffic stops for 01/31/2016 
No traffic stops for 02/01/2016 
No traffic stops for 02/02/2016 
No traffic stops for 02/03/2016 
No traffic stops for 02/04/2016 
2/5/2016 6:16 PM,5950 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/5/2016 9:25 PM,6200 S Stony Island,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 02/06/2016 
2/7/2016 1:32 PM,5730 S University,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/7/2016 5:48 PM,1236 E 53rd,African American,Male,Moving Violation - Other,Unauthorized use of parking places reserved for persons with disability,Citation issued for unauthorized use of parking places reserved for persons with disability,Citation Issued,No
No traffic stops for 02/08/2016 
No traffic stops for 02/09/2016 
2/10/2016 5:05 PM,5300 S Hyde Park,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 02/11/2016 
No traffic stops for 02/12/2016 
2/13/2016 1:38 PM,5700 S Ellis,African American,Female,Moving Violation - Other,Driving with someone on the hood of the vehicle,N/A,Verbal Warning,No
2/13/2016 8:16 PM,5400 Lake Park,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/14/2016 12:53 AM,6000 Cottage Grove,Asian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
No traffic stops for 02/15/2016 
No traffic stops for 02/17/2016 
No traffic stops for 02/18/2016 
2/19/2016 9:59 PM,5200 S, Blac kstone,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
2/20/2016 12:49 AM,5300 S. Ingleside,African American,Female,Lane Violation,Improper lane usage,Citation issued for improper passing/overtaking,Citation Issued,No
2/21/2016 1:38 PM,5700 S. Woodalwn,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/21/2016 1:42 PM,5500 S. Woodlawn,African American,Male,Lane Violation,Improper passing/overtaking,N/A,Verbal Warning,No
No traffic stops for 02/22/2016 
No traffic stops for 02/23/2016 
No traffic stops for 02/24/2016 
2/25/2016 5:17 PM,6100 S Ellis,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
No traffic stops for 02/26/2016 
2/27/2016 12:27 AM,5300 Cornell,African American,Male,Traffic Sign/Signal,Ran red light,2 citations issued for disobeying traffic sign and no valid insurance,Citation Issued,No
No traffic stops for 02/28/2016 
2/29/2016 2:31 PM,5300 S Woodlawn,Hispanic,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 03/01/2016 
3/3/2016 12:23 AM,5300 Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 03/03/2016 
No traffic stops for 03/01/2016 
No traffic stops for 03/05/2016 
No traffic stops for 03/06/2016 
No traffic stops for 03/07/2016 
3/8/2016 11:55 PM,5900 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 03/09/2016 
3/10/2016 9:12 AM,6100 S Ingleside,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 03/11/2016 
No traffic stops for 03/12/2016 
3/13/2016 3:09 AM,5300 Harper,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
3/13/2016 5:50 AM,5700 S Cottage Grove,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
3/15/2016 6:03 PM,4800 S Drexel,African American,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 03/16/2016 
There are no traffic stops for 03/17/2016 ,,,,,,,,
No traffic stops for 03/18/2016 
3/19/2016 9:49 PM,4700 S Woodlawn,African American,Male,Lane Violation,Improper turn,N/A,Verbal Warning,No
No traffic stops for 03/20/2016 
There are no traffic stops for 03/22/2016 ,,,,,,,,
3/23/2016 8:42 PM,6100 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
3/24/2016 8:38 AM,1151 E 51st,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Two citations issued for failure to yield and no valid registration ,Citation Issued,No
3/24/2016 8:40 AM,5040 S Blackstone,African American,Male,Lane Violation,Turning right in front of CTA bus,N/A,Verbal Warning,No
3/24/2016 10:37 AM,5400 S Dorchester,African American,Male,Lane Violation,Turning without signaling (cutting off vehicle in other lane),Two citations issued for lane violation and tail light violation,Citation Issued,No
3/25/2016 9:41 PM,6300 S Drexel,African American,Male,Lane Violation,Illegal left turn,N/A,Verbal Warning,No
3/26/2016 9:58 AM,Kenwood & Midway Plaisance,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
3/26/2016 7:07 PM,6400 S Cottage Grove,African American,Male,Lane Violation,Improper turn,N/A,Verbal Warning,No
No traffic stops for 03/27/2016 
3/28/2016 5:10 AM,5700 S Woodlawn,African American,Female,Moving Violation - Other,Improper parking on roadway,Three citations issued for suspended license, no insurance, and no registration,Citation Issued,No
3/28/2016 2:21 PM,1219 E 63rd,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 03/29/2016 
3/30/2016 11:25 AM,5700 S University,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
3/31/2016 7:29 PM,63rd and Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/1/2016 9:43 PM,1307 E 60th St.,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 04/02/2016 
No traffic stops for 04/03/2016 
No traffic stops for 04/04/2016 
4/5/2016 7:53 PM,6300 S Greenwood,African American,Male,Traffic Sign/Signal,Ran two stop signs,N/A,Verbal Warning,No
4/6/2016 5:25 PM,5700 S University,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/6/2016 7:02 PM,6120 S Ellis,African American,Male,Moving Violation - Other,Driving on sidewalk,N/A,Verbal Warning,No
4/7/2016 1:03 PM,1431 E 51st,African American,Female,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic signal and suspended license,Citation Issued,No
4/8/2016 4:18 PM,5700 S University,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 04/09/2016 
No traffic stops for 04/10/2016 
No traffic stops for 04/11/2016 
4/12/2016 11:50 AM,5500 S Everett,African American,Male,License Plate/Registration,No front license plate,N/A,Verbal Warning,No
4/12/2016 3:01 PM,5500 S Ellis,African American,Female,Lane Violation,Improper passing,N/A,Verbal Warning,No
4/13/2016 12:58 PM,5500 block of S Ellis,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/13/2016 4:12 PM,5700 block of Woodlawn,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/13/2016 4:28 PM,5700 block of Greenwood,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 04/14/2016 
4/15/2016 11:28 AM,5100 S Dorchester,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/15/2016 1:01 PM,5735 S Ellis,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/15/2016 8:30 PM,61st and Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 04/16/2016 
4/17/2016 2:56 PM,Midway Plaisance and Woodlawn,African American,Male,Lane Violation,Improper passing,N/A,Verbal Warning,No
No traffic stops for 04/18/2016 
No traffic stops for 04/19/2016 
No traffic stops for 04/20/2016 
4/21/2016 5:14 PM,5700 S Ellis,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/22/2016 4:22 PM,5706 S University,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/22/2016 4:55 PM,5700 S University,Hispanic,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/22/2016 5:57 PM,1316 E Madison Park Ave,Caucasian,Male,Lane Violation,Wrong way on one way street,One citation issued for driving the wrong way on a one way street,Citation Issued,No
4/22/2016 6:20 PM,4700 S Ellis,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 04/23/2016 
No traffic stops for 04/24/2016 
4/26/2016 4:38 AM,5600 S Harper,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/27/2016 1:40 PM,5400 S Drexel ,African American,Male,Lane Violation,Improper lane usage,One citation issued for improper lane usage,Citation Issued, Arrested on Active Warrant,No
No traffic stops for 04/28/2016 
4/29/2016 8:27 PM,4100 S Cottage Grove,African American,Female,Speed,Speeding - too fast for conditions,N/A,Verbal Warning,No
No traffic stops for 04/30/2016 
5/1/2016 3:29 PM,Midway & Dorchester,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/2/2016 10:17 AM,5300 S Kimbark,Caucasian,Male,Moving Violation - Other,Failure to yield,N/A,Verbal Warning,No
No traffic stops for 05/03/2016 
5/4/2016 11:15 AM,6300 S Drexel,African American,Female,Traffic Sign/Signal,Disobeyed no left turn sign,N/A,Verbal Warning,No
5/4/2016 12:18 PM,5735 S Ellis,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic sign and failure to yield to pedestrian crossing,Citation Issued,No
5/5/2016 5:36 PM,5000 S Dorchester,African American,Male,Speed,Speeding in school zone,N/A,Verbal Warning,No
5/6/2016 9:46 AM,5400 S Ellis,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued for disobeying traffic control device,Citation Issued,No
5/7/2016 1:21 AM,5300 S University,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/8/2016 1:01 PM,5500 S University,African American,Male,Traffic Sign/Signal,Passing in no passing zone and failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
5/9/2016 4:19 PM,5837 S Maryland,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 05/10/2016 
No traffic stops for 05/11/2016 
5/12/2016 11:27 AM,5830 S Ellis,Caucasian,Female,Lane Violation,Improper U-Turn,N/A,Verbal Warning,No
5/13/2016 8:55 AM,6300 S Dorchester,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
5/13/2016 5:00 PM,5706 S University,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 05/14/2016 
No traffic stops for 05/15/2016 
5/16/2016 8:16 PM,5500 Cornell,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
5/17/2016 4:45 PM,5800 S Greenwood,Caucasian,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
5/17/2016 11:28 PM,5700 Hyde Park Blvd,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/18/2016 8:31 AM,5036 S Blackstone,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 05/19/2016 
No traffic stops for 05/20/2016 
No traffic stops for 05/21/2016 
5/22/2016 9:11 PM,5100 Dorchester,African American,Male,Moving Violation - Other,Driving with rear door left open,N/A,Verbal Warning,No
5/23/2016 10:35 AM,5050 Lake Shore Drive,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/23/2016 12:03 PM,5800 Cottage Grove,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
5/23/2016 12:28 PM,5400 Cottage Grove,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/23/2016 5:32 PM,5200 Lake Park,American Indian/Alaskan Native,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 05/24/2016 
No traffic stops for 05/25/2016 
No traffic stops for 05/26/2016 
5/27/2016 10:25 PM,5700 S Hyde Park Blvd,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
